,drought,sst
182,77,0.41343963146209717
183,126,0.6659644246101379
184,112,0.9885876774787903
185,107,1.1742022037506104
186,90,1.3561323881149292
187,117,0.9036802649497986
188,95,0.6190659999847412
189,93,0.8090121150016785
190,49,0.9017882347106934
191,35,0.9728037714958191
192,27,1.1715060472488403
193,25,1.4207595586776733
194,23,1.5209004878997803
195,22,1.7602063417434692
196,11,1.5810784101486206
197,2,1.0011152029037476
198,1,0.5133581161499023
199,1,0.03929445892572403
200,12,-0.14434723556041718
201,13,-0.24169521033763885
202,19,-0.11831099539995193
203,19,-0.12036605924367905
204,33,0.25789111852645874
205,40,0.519866943359375
206,91,0.5779258012771606
207,74,1.0315015316009521
208,94,1.309367299079895
209,129,0.7540133595466614
210,117,0.3793100416660309
211,67,0.1680900752544403
212,62,0.1924690306186676
213,54,0.1161922737956047
214,77,0.08296114951372147
215,51,0.10816625505685806
216,48,0.2716750502586365
217,48,0.0426366813480854
218,37,-0.06015494465827942
219,30,0.13158953189849854
220,15,0.3657481372356415
221,32,0.28575509786605835
222,45,0.2342839390039444
223,61,0.284496545791626
224,63,0.2555910646915436
225,56,0.7473852634429932
226,56,0.8378840684890747
227,67,0.8313665390014648
228,54,0.9269022941589355
229,37,0.8649833798408508
230,54,0.6007307767868042
231,37,0.4392116963863373
232,35,-0.047228794544935226
233,13,0.027455264702439308
234,11,-0.15997856855392456
235,12,-0.7552233934402466
236,16,-0.8632955551147461
237,18,-0.7835281491279602
238,21,-0.9075206518173218
239,16,-0.8254209756851196
240,19,-0.7571777105331421
241,20,-0.7692714929580688
242,21,-0.6543106436729431
243,25,-1.0385714769363403
244,37,-0.9300254583358765
245,60,-0.9051215648651123
246,67,-0.8906652331352234
247,76,-0.7213308811187744
248,103,-0.6619994640350342
249,110,-0.7115809917449951
250,34,-0.5230807662010193
251,18,-0.7388331890106201
252,10,-0.5507965683937073
253,9,-0.534122884273529
254,5,-0.0953911542892456
255,2,0.3866172134876251
256,4,0.9427224397659302
257,2,1.5718094110488892
258,1,2.1857376098632812
259,3,2.4272546768188477
260,0,2.395911455154419
261,0,2.1923000812530518
262,2,2.1591925621032715
263,17,2.0729284286499023
264,18,2.476332902908325
265,38,2.627251148223877
