,drought,sst2,sst41,sst72,drought1,drought12
105,44,-33.60224363859328,18.48138813923066,-7.336326471696275,31.0,153.0
106,35,-36.0432972476525,8.269386205385786,-2.6188718471507793,44.0,146.0
107,42,-42.66673363068882,2.9153327902408837,2.2816594908888965,35.0,182.0
108,51,-41.93507208389835,4.513604677966757,2.732218117671823,42.0,187.0
109,58,-41.17527396428466,11.831500894906371,0.2866215410789388,51.0,175.0
110,49,-48.742919612906476,7.757096583048269,6.882539025500415,58.0,165.0
111,59,-52.31701744571954,2.980167447761662,-2.428238833995046,49.0,164.0
112,78,-46.29486342734894,-4.165555363624511,-6.981566522702019,59.0,136.0
113,108,-45.06137706117142,-5.283166192195062,-1.1388398828441417,78.0,77.0
114,86,-33.17590269873673,-8.438615613383273,-0.8345170918075839,108.0,76.0
115,98,-33.92810128714721,-7.128117132259202,-1.9230736178610788,86.0,94.0
116,123,-31.15612011179029,-15.22919898575577,-1.5104090178381429,98.0,88.0
117,117,-38.121518594195955,-11.80172994337508,1.0223129024588207,123.0,31.0
118,108,-42.45467231568801,2.1587494877196,4.092304019616238,117.0,44.0
119,106,-34.89528329810396,6.762732421479617,5.079977697049089,108.0,35.0
120,91,-36.96477109604442,5.491477817502916,4.7578741330411285,106.0,42.0
121,95,-24.06484344814428,10.848348003301174,1.7051800338529213,91.0,51.0
122,100,-30.273924481918872,5.880889253878728,3.1056213484912765,95.0,58.0
123,81,-27.92290973068288,-1.0843241247706554,0.876803596729316,100.0,49.0
124,94,-20.835596886482016,1.9442391363131193,-0.23746492337125757,81.0,59.0
125,45,-13.647738896860538,-2.779148442269494,1.2235448615949536,94.0,78.0
126,52,-10.288196581910293,-2.672892058749949,-4.062717981687474,45.0,108.0
127,68,-14.77740935959296,-3.6014020569664,-2.605267024793709,52.0,86.0
128,74,-12.122813241100387,2.181211685595145,-3.7134740975446277,68.0,98.0
129,83,-9.047984581343487,-0.7064846657492514,-3.4073476900669513,74.0,123.0
130,71,5.3348271766831346,2.7110480521540476,-5.449756593300888,83.0,117.0
131,64,7.70905546313427,9.81090116000897,0.7240483922546701,71.0,108.0
132,68,7.828908004967486,10.707061764811305,-1.967094896546169,64.0,106.0
133,57,14.902005555440924,10.228149280893907,-5.195732351035617,68.0,91.0
134,51,32.24182835123054,10.30746191149032,-5.69928011864423,57.0,95.0
135,99,24.169381337111236,10.032788855168725,-6.849694397401599,51.0,100.0
136,93,33.49254878999776,0.16687825701735462,-2.9083011694423435,99.0,81.0
137,159,30.28358392074692,-1.3694299595843713,1.5737928146361388,93.0,94.0
138,150,39.29314335616066,5.740761837105545,4.209448146690309,159.0,45.0
139,57,41.11929783962495,-2.290394960777354,6.154254794804219,150.0,52.0
140,35,48.15050853427002,-1.7566149623140164,-2.4404711759808713,57.0,68.0
141,12,43.1871974264206,-6.597736149713667,-4.514801505633069,35.0,74.0
142,7,40.34798694729456,-15.05330989148598,1.748620500243928,12.0,83.0
143,16,25.214635562793063,-8.537127043144272,7.0400302007997215,7.0,71.0
144,18,30.948975056719515,10.267813517525878,8.466331099223849,16.0,64.0
145,18,26.75385486883102,9.805686871444893,2.0827979190247947,18.0,68.0
146,23,26.19656468762334,2.5646211676296145,-5.423019719137191,18.0,57.0
147,2,11.963505772696909,0.8027605305257309,-2.2392342779898917,23.0,51.0
148,6,-4.713624428980234,3.8034698056789136,-3.689085333128798,2.0,99.0
149,5,-23.028035198154242,-2.912500506805487,3.3694481226763595,6.0,93.0
150,4,-26.271004688836232,-11.31700058387496,1.6117630800576563,5.0,159.0
151,1,-20.465666295318883,-4.669523468242008,1.356833829015436,4.0,150.0
152,9,-24.392394059486598,-13.247719267300686,3.377794973946453,1.0,57.0
153,30,-34.654002003137016,-11.289800169942504,3.4862122953141546,9.0,35.0
154,44,-41.309835637402294,-6.019023507014079,-2.3518955536182675,30.0,12.0
155,33,-45.981173986871156,-1.6373232372969662,-0.4862316778401615,44.0,7.0
156,14,-55.60290108569908,-3.616817095333896,2.556376539573607,33.0,16.0
157,10,-51.203315109449186,-9.26604997120097,1.0881339523090978,14.0,18.0
158,4,-51.102659581294,-1.86656246044906,0.5540843041130281,10.0,18.0
159,7,-50.43038769763305,-4.161096848782973,1.8719549163442677,4.0,23.0
160,12,-45.90255233906863,-8.37667153436328,3.92374655753739,7.0,2.0
161,16,-40.727012391845534,-7.487596236980372,2.3206400728948724,12.0,6.0
162,14,-34.78569730467585,-10.868102436291213,-0.1834737160316158,16.0,5.0
163,3,-40.57133421080509,-12.059075469362353,1.2499478031645723,14.0,4.0
164,4,-33.62161288067316,-13.615999315187699,2.720815804267793,3.0,1.0
165,2,-35.503237031040115,-6.973326035021353,1.851053649106408,4.0,9.0
166,12,-23.6321489191035,-7.934841668152988,2.606507342502862,2.0,30.0
167,11,-5.0067095552875225,-2.6756758727622167,0.6421065715210864,12.0,44.0
168,21,-8.495999546019744,4.287119068144716,1.397264620407192,11.0,33.0
169,23,3.6748186533277103,-4.718350191955712,-0.40758466092318013,21.0,14.0
170,43,-3.7057241292195675,-10.466025326466928,1.7736618686584107,23.0,10.0
171,33,3.004757042129988,-7.78996378694399,4.824412793569403,43.0,4.0
172,52,2.2680680371118496,-2.3984051803070714,3.0275074128419677,33.0,7.0
173,47,-5.806412957734715,-0.7042141280764821,3.6377799834810562,52.0,12.0
174,41,0.9395953755206844,2.8269382409404598,7.977101805022753,47.0,16.0
175,32,0.34682738431847604,2.331903818624698,2.4973943939274568,41.0,14.0
176,44,-1.2332361169737769,4.71459731388951,-4.333453415576845,32.0,3.0
177,64,-2.7302980728346884,-5.203038600713965,-0.17224304291119896,44.0,4.0
178,73,-0.2825246478301917,-5.093131098118851,-3.320698090404094,64.0,2.0
179,87,7.170404865333871,-1.18389521877207,-5.065514066308958,73.0,12.0
180,76,15.118354257364041,0.2703307139077471,-11.897579793414188,87.0,11.0
181,71,10.542923392259214,-8.488591677785267,1.7137668764409277,76.0,21.0
182,77,9.050791395683289,-15.15020377783963,-1.0659513334025879,71.0,23.0
183,126,13.828188990259777,-16.60303303942671,2.955955959665922,77.0,43.0
184,112,19.598202846810867,-2.2374683651944722,0.9586955477722888,126.0,33.0
185,107,20.65570535550114,-1.1041974760157895,-1.0310485642878497,112.0,52.0
186,90,21.995122471348886,4.182220495371366,3.5291076213477974,107.0,47.0
187,117,12.24007829247824,15.814362296387054,2.6218838629503005,90.0,41.0
188,95,15.892240326887883,13.718597195587668,-0.6983860893653493,117.0,32.0
189,93,11.395497835719732,0.6241859150322768,-4.887960247288715,95.0,44.0
190,49,11.770048331659225,1.5168631098203011,0.8209985291211325,93.0,64.0
191,35,11.343888206164225,9.518650538511764,2.931626980849456,49.0,73.0
192,27,12.6815200448381,7.666586294496369,-1.9109357395757596,35.0,87.0
193,25,16.85705313987071,9.741986107674137,-4.3264142542454085,27.0,76.0
194,23,24.474716842156347,6.092844715125548,-2.000047165809002,25.0,71.0
195,22,31.08001989858702,3.7181169711663244,0.9500193931150096,23.0,77.0
196,11,34.35776001295905,-7.734107689923857,1.9715741697472822,22.0,126.0
197,2,25.164403157405292,-2.9433434243403824,4.951154859517369,11.0,112.0
198,1,20.538898048397524,-4.727624059320439,-4.7560182804300215,2.0,107.0
199,1,2.7344429612348047,-8.020467274262797,-5.003154960127003,1.0,90.0
200,12,-10.562998217348513,-8.823349844030338,-7.5507662046046296,1.0,117.0
201,13,-16.14073310745114,-4.613973852993322,-0.6021758973297138,12.0,95.0
202,19,-14.989686182005622,6.828556134504313,1.688143706361169,13.0,93.0
203,19,-18.763590130117954,-1.747727044866017,2.750668849442648,19.0,49.0
204,33,4.530368905023454,3.1292870180723216,1.436318107638107,19.0,35.0
205,40,12.254312327913166,1.0581732217741853,-3.951583171283175,33.0,27.0
206,91,10.694977562534595,-2.526121370580836,-2.3071580863751135,40.0,25.0
207,74,17.518271448607074,3.801978506959079,-2.1054149424337356,91.0,23.0
208,94,22.90053751025171,-4.390553255685145,-0.24048703550822476,74.0,22.0
209,129,16.354437399215854,-5.457096439076575,8.503693290338767,94.0,11.0
210,117,-2.7191940647274375,-0.6973214212728626,3.64748601669269,129.0,2.0
211,67,-7.58298371726221,4.0489954814950915,9.007296116668199,117.0,1.0
212,62,-3.4158220258956438,-0.904184851189183,2.541562485469762,67.0,1.0
213,54,-0.49957131368421925,11.845237671159666,-1.3424920810458945,62.0,12.0
214,77,-3.737991034577407,-0.11285791191683922,1.8629347273986872,54.0,13.0
215,51,-8.320609233775532,3.7080590224056804,1.1052822446322343,77.0,19.0
216,48,-1.7233211627566085,3.238034311154443,6.998165560110876,51.0,19.0
217,48,-9.736438902167027,7.192145612774207,7.091373158949866,48.0,33.0
218,37,-9.804497036760399,-0.2029161163705886,-4.9203541233866455,48.0,40.0
219,30,0.9082557080408982,-8.119426912566054,-4.415462965661866,37.0,91.0
220,15,6.500004206106139,-3.845654886848668,-2.5318130820718627,30.0,74.0
221,32,1.022621758146144,-8.168587383400503,-0.9030812323828035,15.0,94.0
222,45,-1.2987002867214084,-8.77775038066687,3.805887830043125,32.0,129.0
223,61,-1.1219468721444805,-10.766644894247406,-0.5905309623784896,45.0,117.0
224,63,2.4024165963277153,2.769707123228599,6.520089166419626,61.0,67.0
225,56,20.683873884494588,10.181088805091223,9.14103472409671,63.0,62.0
226,56,13.026652194347115,7.326351037628944,4.293817092602992,56.0,54.0
227,67,9.346680301339072,4.7202211204627815,4.453287367845671,56.0,77.0
228,54,15.512379685466401,-1.2182863752185764,-6.239965389728388,67.0,51.0
229,37,18.601908106017973,-6.439610742150479,-2.959043534300921,54.0,48.0
230,54,13.12773171762752,6.659990517332755,-1.136673534139826,37.0,48.0
231,37,7.5936321922244305,1.7739099148610502,1.20013601589991,54.0,37.0
232,35,2.323189201945041,-5.7047776195641555,5.369567247775354,37.0,30.0
233,13,7.941728303973456,-10.275197631553565,5.4509432074595825,35.0,15.0
234,11,9.517655114288521,-5.94520413162776,4.782295824496566,13.0,32.0
235,12,-1.1091483161789026,-4.466790688675264,5.186126843990502,11.0,45.0
236,16,-6.56914002032278,-2.600957041895997,4.578618655095916,12.0,61.0
237,18,-13.47064300234412,9.5632821979818,-5.018168972817864,16.0,63.0
238,21,-21.840269710112153,5.736484733648282,-2.8978234065003927,18.0,56.0
239,16,-25.512625985777674,5.527803679059086,-0.52227235192764,21.0,56.0
240,19,-18.276258048869753,2.3891989871420587,-1.6586285394985851,16.0,67.0
241,20,-11.773952529798592,-0.060146158888605195,1.9811100952616079,19.0,54.0
