,drought,sst
111,59,-27.92290973282942
112,78,-20.83559688608017
113,108,-13.647738903930591
114,86,-10.288196584512836
115,98,-14.777409371350252
116,123,-12.122813245461085
117,117,-9.04798457804628
118,108,5.334827177777711
119,106,7.709055465370825
120,91,7.828908010284014
121,95,14.902005561617196
122,100,32.24182835220998
123,81,24.169381336172485
124,94,33.49254878844214
125,45,30.283583920078875
126,52,39.2931433533901
127,68,41.1192978437334
128,74,48.15050853969828
129,83,43.18719742625542
130,71,40.34798694737715
131,64,25.2146355652756
132,68,30.948975056523594
133,57,26.753854867050585
134,51,26.19656468407388
135,99,11.963505776342961
136,93,-4.713624432648539
137,159,-23.02803519783526
138,150,-26.27100468065295
139,57,-20.465666290747116
140,35,-24.392394053536233
141,12,-34.65400200805418
142,7,-41.309835646550866
143,16,-45.98117399187286
144,18,-55.60290109323671
145,18,-51.20331511084375
146,23,-51.10265958247512
147,2,-50.4303876934946
148,6,-45.902552341321936
149,5,-40.727012394702115
150,4,-34.78569730306094
151,1,-40.57133420687416
152,9,-33.6216128789952
153,30,-35.503237027887764
154,44,-23.63214890851127
155,33,-5.0067095490793445
156,14,-8.49599954428001
157,10,3.6748186543533095
158,4,-3.7057241319856504
159,7,3.004757040315601
160,12,2.268068037009329
161,16,-5.806412958858534
162,14,0.939595379723383
163,3,0.3468273879576334
164,4,-1.2332361155227523
165,2,-2.730298070186768
166,12,-0.282524640160305
167,11,7.170404869290084
168,21,15.11835426100677
169,23,10.542923396398306
170,43,9.050791399998907
171,33,13.828188991561493
172,52,19.598202843218147
173,47,20.655705348678516
174,41,21.995122470572237
175,32,12.240078287009789
176,44,15.892240325408807
177,64,11.395497830002395
178,73,11.770048334845152
179,87,11.343888209604577
180,76,12.681520045365131
181,71,16.85705313890909
182,77,24.474716840666023
183,126,31.080019898684824
184,112,34.35776001418702
185,107,25.16440315247947
186,90,20.538898048831943
187,117,2.734442960330695
188,95,-10.56299821025814
189,93,-16.140733101279015
190,49,-14.989686181847734
191,35,-18.763590134701914
192,27,4.530368904552879
193,25,12.25431232831733
194,23,10.694977559043883
195,22,17.518271447793275
196,11,22.90053750531253
197,2,16.354437400211424
198,1,-2.7191940589632693
199,1,-7.582983713859727
200,12,-3.4158220290966077
201,13,-0.49957131241349106
202,19,-3.7379910426189418
203,19,-8.32060923434974
204,33,-1.7233211669935917
205,40,-9.736438897662634
206,91,-9.80449703305662
207,74,0.9082557088238571
208,94,6.500004206797553
209,129,1.0226217541710052
210,117,-1.2987002845857512
211,67,-1.121946863362553
212,62,2.4024166006588055
213,54,20.6838738857333
214,77,13.02665219467793
215,51,9.346680304105039
216,48,15.51237968690005
217,48,18.60190811194144
218,37,13.1277317163985
219,30,7.59363218951987
220,15,2.3231892010618838
221,32,7.941728303749938
222,45,9.517655107891894
223,61,-1.109148314126816
224,63,-6.569140011881138
225,56,-13.47064300273026
226,56,-21.840269709035965
227,67,-25.512625984929844
228,54,-18.27625805040975
229,37,-11.773952534747558
230,54,-16.684427941465923
231,37,-25.87728351707632
232,35,-27.461654533142585
233,13,-23.638037116704034
234,11,-32.73406438270115
235,12,-29.36623621750168
236,16,-28.07020659960772
237,18,-34.728523551678116
238,21,-28.004330222914266
239,16,-28.557023639897107
240,19,-21.53842585724477
241,20,-25.74756290000744
242,21,-9.172895311737626
243,25,-0.4971710180146669
244,37,12.899541984031957
245,60,29.50170384128064
246,67,33.93077962236874
247,76,42.864191476842656
248,103,52.211286533952034
249,110,49.25392911080906
